"Type","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO","GO:0009615","response to virus","111/2030","436/18870",1.5893076528069e-18,9.52631007092457e-15,7.04146937964658e-15,"BCL3/OAS1/ZC3H12A/SAMHD1/IFIT3/IFIT2/MAP3K14/ZNFX1/RSAD2/NFKB1/OASL/MX2/GBP1/ZC3HAV1/IFIT1/NT5C3A/TNFAIP3/IRF1/IRF7/ISG15/DDX60L/TRIM22/STAT1/OAS3/STAT2/IFIH1/HERC5/IL6/TRIM26/OAS2/IFI16/NLRC5/DHX58/USP18/IFI6/PARP9/PML/TRIM21/IFIT5/CCL5/TRIM38/MX1/MYD88/CXCL10/LGALS9/DHX36/EIF2AK2/DTX3L/PMAIP1/DDX60/ODC1/RTP4/IFI44L/TRIM5/MOV10/ZBP1/GATA3/TRAF3/SHFL/IFNL1/EXT1/TICAM1/IFI44/SETD2/IFITM3/ISG20/IFITM2/F2RL1/IFITM1/IFNL3/FOSL1/NMI/IKBKE/TLR3/GPATCH3/JAK2/TRAF6/MORC3/STMN1/IL12A/BST2/SENP7/TNF/IFI27/APOBEC3G/IFNB1/IFNL2/SIRT2/STING1/NLRP3/IFIT1B/LAMTOR5/NPC2/EXOSC5/IRF2/TKFC/HMGA2/CXCR4/GBP7/GBP5/CXCL9/APOBEC3B/IL15/TRIM31/IL33/MST1R/HYAL1/VWCE/TRIM6/POLR3H/SLFN13",111
"GO","GO:0051607","defense response to virus","90/2030","334/18870",6.66314366308987e-17,1.63286868309673e-13,1.20695156334477e-13,"OAS1/ZC3H12A/SAMHD1/IFIT3/IFIT2/MAP3K14/ZNFX1/RSAD2/OASL/MX2/GBP1/ZC3HAV1/IFIT1/NT5C3A/TNFAIP3/IRF1/IRF7/ISG15/DDX60L/TRIM22/STAT1/OAS3/STAT2/IFIH1/HERC5/IL6/TRIM26/OAS2/IFI16/NLRC5/DHX58/USP18/IFI6/PARP9/PML/TRIM21/IFIT5/TRIM38/MX1/MYD88/CXCL10/DHX36/EIF2AK2/DTX3L/PMAIP1/DDX60/RTP4/IFI44L/TRIM5/MOV10/ZBP1/TRAF3/SHFL/IFNL1/TICAM1/SETD2/IFITM3/ISG20/IFITM2/F2RL1/IFITM1/IFNL3/IKBKE/TLR3/GPATCH3/TRAF6/MORC3/BST2/SENP7/TNF/IFI27/APOBEC3G/IFNB1/IFNL2/SIRT2/STING1/IFIT1B/EXOSC5/IRF2/TKFC/GBP7/GBP5/CXCL9/APOBEC3B/IL15/TRIM31/IL33/TRIM6/POLR3H/SLFN13",90
"GO","GO:0140546","defense response to symbiont","90/2030","335/18870",8.17251593141507e-17,1.63286868309673e-13,1.20695156334477e-13,"OAS1/ZC3H12A/SAMHD1/IFIT3/IFIT2/MAP3K14/ZNFX1/RSAD2/OASL/MX2/GBP1/ZC3HAV1/IFIT1/NT5C3A/TNFAIP3/IRF1/IRF7/ISG15/DDX60L/TRIM22/STAT1/OAS3/STAT2/IFIH1/HERC5/IL6/TRIM26/OAS2/IFI16/NLRC5/DHX58/USP18/IFI6/PARP9/PML/TRIM21/IFIT5/TRIM38/MX1/MYD88/CXCL10/DHX36/EIF2AK2/DTX3L/PMAIP1/DDX60/RTP4/IFI44L/TRIM5/MOV10/ZBP1/TRAF3/SHFL/IFNL1/TICAM1/SETD2/IFITM3/ISG20/IFITM2/F2RL1/IFITM1/IFNL3/IKBKE/TLR3/GPATCH3/TRAF6/MORC3/BST2/SENP7/TNF/IFI27/APOBEC3G/IFNB1/IFNL2/SIRT2/STING1/IFIT1B/EXOSC5/IRF2/TKFC/GBP7/GBP5/CXCL9/APOBEC3B/IL15/TRIM31/IL33/TRIM6/POLR3H/SLFN13",90
"GO","GO:0045071","negative regulation of viral genome replication","31/2030","55/18870",1.44695539565981e-16,2.16826266039622e-13,1.60269348956109e-13,"OAS1/N4BP1/ZNFX1/RSAD2/OASL/ZC3HAV1/IFIT1/ISG15/OAS3/IFIH1/OAS2/IFI16/IFIT5/CCL5/MX1/EIF2AK2/SHFL/IFITM3/ISG20/IFITM2/IFITM1/IFNL3/BST2/TNF/APOBEC3G/IFNB1/SLPI/HMGA2/APOBEC3B/PROX1/TRIM6",31
"GO","GO:0002237","response to molecule of bacterial origin","94/2030","369/18870",6.80366143370238e-16,8.15622932672241e-13,6.02876020514807e-13,"RARA/PTGER4/ZC3H12A/IRAK2/CD24/NFKB1/CMPK2/NR1D1/NFKBIA/TNFAIP3/FOS/CX3CL1/CXCL3/NOCT/TRIB1/IL6/RIPK2/PELI1/CNP/CXCL8/MYD88/CXCL1/CXCL10/LGALS9/DUSP10/TAP2/CCL2/CXCL2/CD274/FOSL2/IDO1/EDN1/CXCL11/BCL10/IL1A/NFKB2/TRIM5/PTGS2/LYN/ZFP36/TICAM1/FZD5/C4B/NR4A1/NFKBIZ/CASP7/SERPINE1/TSPO/JAK2/TRAF6/IL12A/ANKRD1/TNF/PDE4B/UGT1A1/PRKCE/ADH5/AHR/FOXP1/PDCD4/IL10RA/SLPI/PRDX2/NLRP3/EPHB2/NOD2/ASS1/ADM/MEF2C/CSF2/PCK1/ARID5A/CYP1A1/NOS3/GBP5/MIF/KMO/CSF3/VCAM1/CXCL9/TLR6/PTGER2/MRC1/ABCA1/ACE/TLR4/PTGFR/ADAMTS13/PDCD1LG2/LTA/TLR1/TRIM6/HDAC5/NR1H4",94
"GO","GO:0048525","negative regulation of viral process","40/2030","93/18870",1.36957772549433e-15,1.36820814776884e-12,1.01132502572029e-12,"OAS1/N4BP1/ZNFX1/RSAD2/OASL/ZC3HAV1/IFIT1/ISG15/STAT1/OAS3/IFIH1/TRIM26/OAS2/IFI16/TRIM21/IFIT5/CCL5/MX1/EIF2AK2/PTX3/TRIM5/SHFL/ZFP36/IFITM3/ISG20/IFITM2/CIITA/IFITM1/IFNL3/CH25H/BST2/TNF/APOBEC3G/IFNB1/SLPI/HMGA2/APOBEC3B/TRIM31/PROX1/TRIM6",40
"GO","GO:0032496","response to lipopolysaccharide","87/2030","348/18870",2.69467217707313e-14,2.30740928991091e-11,1.70554514184975e-11,"RARA/PTGER4/ZC3H12A/IRAK2/NFKB1/CMPK2/NR1D1/NFKBIA/TNFAIP3/FOS/CX3CL1/CXCL3/NOCT/TRIB1/IL6/RIPK2/PELI1/CNP/CXCL8/MYD88/CXCL1/CXCL10/LGALS9/DUSP10/CCL2/CXCL2/CD274/FOSL2/IDO1/EDN1/CXCL11/BCL10/IL1A/NFKB2/TRIM5/PTGS2/LYN/ZFP36/TICAM1/NR4A1/NFKBIZ/CASP7/SERPINE1/TSPO/JAK2/TRAF6/IL12A/ANKRD1/TNF/PDE4B/UGT1A1/PRKCE/ADH5/FOXP1/PDCD4/IL10RA/SLPI/PRDX2/NLRP3/EPHB2/NOD2/ASS1/ADM/MEF2C/CSF2/PCK1/ARID5A/CYP1A1/NOS3/GBP5/MIF/KMO/CSF3/VCAM1/CXCL9/PTGER2/MRC1/ABCA1/ACE/TLR4/PTGFR/ADAMTS13/PDCD1LG2/LTA/TRIM6/HDAC5/NR1H4",87
"GO","GO:1903706","regulation of hemopoiesis","97/2030","417/18870",1.08937303799551e-13,8.16212748718133e-11,6.03311989068827e-11,"RARA/MYC/INHBA/ZC3H12A/NEDD9/CSF1/NFKBIA/IRF1/IRF7/ISG15/STAT1/FOS/KLF10/TRIB1/AMBRA1/RIPK2/ACTB/ANXA1/ARID1A/KAT6A/LGALS9/DUSP10/PIK3R1/RC3H1/GATA3/JUNB/TESC/IKZF3/SMAD7/IFNL1/LYN/ZFP36/CREB1/BRPF1/BCL6/IL15RA/CNOT4/TCIM/BRD1/NFKBIZ/RUNX1/ACVR2A/VSIR/MEIS1/ZEB1/TLR3/H4C14/CD83/TRAF6/ARID2/CCR1/RIPK1/SCIN/TNF/IFNB1/PRDM1/TNFAIP6/SOCS1/MMP14/CIB1/FOXP1/IL4I1/PRDX2/NLRP3/EGR3/ZFP36L1/FSTL3/LIF/MEF2C/H4C5/BRAF/ZNF675/PCK1/LOXL3/RUNX3/PGLYRP2/H4C8/SOX4/KITLG/ADAM8/TNFSF9/GLI2/CSF3/ZMIZ1/IL7/CAMK4/CLDN18/IL15/HLX/ERFE/TLR4/PSG9/AGER/HOXA5/TMEM178A/PTN/L3MBTL1",97
"GO","GO:0045785","positive regulation of cell adhesion","107/2030","482/18870",1.50953268065413e-13,1.00534876531565e-10,7.43113807353593e-11,"RARA/CCN1/ABL2/NEDD9/CD24/CSF1/HES1/PLAUR/CX3CL1/MAP3K8/PRKD2/AMBRA1/IL6/RIPK2/ACTB/ANXA1/CCL5/PDGFB/ARID1A/AGR2/LGALS9/DUSP10/CCL2/TJP1/CD274/SPOCK2/CD44/BCL10/IL1A/GATA3/RREB1/SMAD7/LYN/ADAM19/NFAT5/BCL6/EFNB2/TRIOBP/ITGA5/NFKBIZ/RUNX1/EPHA4/VTCN1/VSIR/ZFHX3/JAK2/CD83/TRAF6/ARID2/IL12A/TNF/FLCN/ABI3BP/PRKCE/GCNT1/SOCS1/CIB1/HAS2/CITED2/NR4A3/IL4I1/NLRP3/COL8A1/EGR3/TNFSF13B/NOD2/FSTL3/LIF/TNFRSF14/TGFB2/CHST4/BRAF/PCK1/FRMD5/PREX1/FERMT1/RSU1/CSPG5/RUNX3/ANK3/SOX4/ALOX5/KITLG/PODXL/ADAM8/TNFSF9/GLI2/VCAM1/ZMIZ1/FGB/RET/IL7/KIF26B/PRKCQ/IL15/HLX/TEK/HLA-DOB/CASS4/SPTA1/AGER/HYAL1/PDCD1LG2/CHST2/EGFL6/COL16A1/FBLN2",107
"GO","GO:1903900","regulation of viral life cycle","48/2030","143/18870",1.96156319005946e-13,1.17576097612164e-10,8.6907573336424e-11,"OAS1/N4BP1/ZNFX1/RSAD2/OASL/ZC3HAV1/IFIT1/LAMP3/ISG15/TRIM22/OAS3/IFIH1/TRIM26/OAS2/IFI16/TRIM21/IFIT5/CCL5/TRIM38/MX1/CXCL8/LGALS9/EIF2AK2/PTX3/TRIM5/SHFL/TMPRSS4/IFITM3/ISG20/IFITM2/CIITA/IFITM1/IFNL3/CH25H/BST2/TNF/APOBEC3G/IFNB1/SLPI/NR5A2/HMGA2/GBP7/APOBEC3B/HS3ST5/RFPL1/TRIM31/PROX1/TRIM6",48
"GO","GO:0045069","regulation of viral genome replication","35/2030","85/18870",3.90430243066775e-13,2.12748988812932e-10,1.57255587853403e-10,"OAS1/N4BP1/ZNFX1/RSAD2/OASL/ZC3HAV1/IFIT1/ISG15/OAS3/IFIH1/OAS2/IFI16/IFIT5/CCL5/TRIM38/MX1/CXCL8/EIF2AK2/SHFL/IFITM3/ISG20/IFITM2/IFITM1/IFNL3/BST2/TNF/APOBEC3G/IFNB1/SLPI/NR5A2/HMGA2/GBP7/APOBEC3B/PROX1/TRIM6",35
"GO","GO:0050792","regulation of viral process","52/2030","168/18870",7.49856235274628e-13,3.74553189519677e-10,2.76854815286922e-10,"OAS1/N4BP1/ZNFX1/RSAD2/OASL/ZC3HAV1/IFIT1/LAMP3/ISG15/TRIM22/STAT1/OAS3/IFIH1/TRIM26/OAS2/IFI16/TRIM21/IFIT5/CCL5/TRIM38/MX1/CXCL8/LGALS9/EIF2AK2/PTX3/TRIM5/SHFL/TMPRSS4/ZFP36/IFITM3/ISG20/RSF1/IFITM2/CIITA/IFITM1/IFNL3/CH25H/BST2/TNF/APOBEC3G/IFNB1/SLPI/NR5A2/HMGA2/CXCR4/GBP7/APOBEC3B/HS3ST5/RFPL1/TRIM31/PROX1/TRIM6",52
